Country,Region,happiness_score,GDP_per_cap,life_expect,Freedom,Generosity,continent,Year
Switzerland,Western Europe,7.587000000000001,1.3965100000000001,0.9414299999999999,0.66557,0.29678000000000004,Europe,2015
Iceland,Western Europe,7.561,1.3023200000000001,0.94784,0.6287699999999999,0.4363,Europe,2015
Denmark,Western Europe,7.527,1.32548,0.87464,0.6493800000000001,0.34139,Europe,2015
Norway,Western Europe,7.522,1.459,0.88521,0.66973,0.34699,Europe,2015
Canada,North America,7.4270000000000005,1.32629,0.9056299999999999,0.63297,0.45811,America,2015
Finland,Western Europe,7.406000000000001,1.29025,0.8891100000000001,0.64169,0.23351,Europe,2015
Netherlands,Western Europe,7.377999999999999,1.32944,0.89284,0.6157600000000001,0.4761,Europe,2015
Sweden,Western Europe,7.364,1.33171,0.9108700000000001,0.6598,0.36262,Europe,2015
New Zealand,Australia and New Zealand,7.2860000000000005,1.2501799999999998,0.9083700000000001,0.6393800000000001,0.47501000000000004,Oceania ,2015
Australia,Australia and New Zealand,7.284,1.33358,0.93156,0.6512399999999999,0.43562,Oceania ,2015
Israel,Middle East and Northern Africa,7.278,1.2285700000000002,0.9138700000000001,0.41318999999999995,0.33171999999999996,Africa,2015
Costa Rica,Latin America and Caribbean,7.226,0.95578,0.8602700000000001,0.63376,0.25497,America,2015
Austria,Western Europe,7.2,1.33723,0.8904200000000001,0.62433,0.33088,Europe,2015
Mexico,Latin America and Caribbean,7.187,1.02054,0.8144399999999999,0.48181,0.14074,America,2015
United States,North America,7.119,1.3945100000000001,0.86179,0.54604,0.40105,America,2015
Brazil,Latin America and Caribbean,6.983,0.98124,0.69702,0.49049,0.14574,America,2015
Luxembourg,Western Europe,6.946000000000001,1.5639100000000001,0.91894,0.61583,0.28034000000000003,Europe,2015
Ireland,Western Europe,6.94,1.33596,0.89533,0.6177699999999999,0.45901000000000003,Europe,2015
Belgium,Western Europe,6.937,1.30782,0.8966700000000001,0.5845,0.2225,Europe,2015
United Arab Emirates,Middle East and Northern Africa,6.901,1.42727,0.80925,0.64157,0.26428,Africa,2015
United Kingdom,Western Europe,6.867000000000001,1.26637,0.90943,0.59625,0.51912,Europe,2015
Venezuela,Latin America and Caribbean,6.81,1.04424,0.7205199999999999,0.42908,0.058410000000000004,America,2015
Singapore,Southeastern Asia,6.797999999999999,1.52186,1.02525,0.54252,0.31105,Asia,2015
Panama,Latin America and Caribbean,6.7860000000000005,1.0635299999999999,0.79661,0.5421,0.24434,America,2015
Germany,Western Europe,6.75,1.32792,0.89186,0.6147699999999999,0.28214,Europe,2015
Chile,Latin America and Caribbean,6.67,1.10715,0.85857,0.44132,0.33363000000000004,America,2015
Qatar,Middle East and Northern Africa,6.611000000000001,1.69042,0.79733,0.6404,0.32573,Africa,2015
France,Western Europe,6.575,1.27778,0.9457899999999999,0.55011,0.12332,Europe,2015
Argentina,Latin America and Caribbean,6.574,1.05351,0.78723,0.44974,0.11450999999999999,America,2015
