Country,Year,Per capita CO2 emissions
Afghanistan,2018,0.253922016
Africa,2018,1.099381892
Albania,2018,1.585141725
Algeria,2018,3.687725231
Andorra,2018,6.115703466
Angola,2018,1.120973747
Anguilla,2018,10.42328512
Antigua and Barbuda,2018,5.894119563
Argentina,2018,4.407732284
Armenia,2018,1.887227048
Aruba,2018,8.463651329
Asia,2018,4.402718095
Asia (excl. China & India),2018,4.134082534
Australia,2018,16.87769524
Austria,2018,7.746022466
Azerbaijan,2018,3.697285837
Bahamas,2018,4.695857962
Bahrain,2018,19.79537912
Bangladesh,2018,0.531008357
Barbados,2018,4.46938008
Belarus,2018,6.924370593
Belgium,2018,8.680126475
Belize,2018,1.499995151
Benin,2018,0.622484644
Bermuda,2018,9.867849294
Bhutan,2018,1.610034237
Bolivia,2018,1.960893257
Bonaire Sint Eustatius and Saba,2018,12.88592941
Bosnia and Herzegovina,2018,6.519945843
Botswana,2018,2.95746685
Brazil,2018,2.182616134
British Virgin Islands,2018,7.197030204
Brunei,2018,18.48369728
Bulgaria,2018,6.311851951
Burkina Faso,2018,0.197403608
Burundi,2018,0.046679178
Cambodia,2018,0.63976637
Cameroon,2018,0.322700195
Canada,2018,15.33141518
Cape Verde,2018,1.154832305
Central African Republic,2018,0.065086824
Chad,2018,0.065528839
Chile,2018,4.585221051
China,2018,7.049837003
Colombia,2018,1.958668386
Comoros,2018,0.262517692
Congo,2018,0.616152717
Cook Islands,2018,3.650601628
Costa Rica,2018,1.61202973
Cote d'Ivoire,2018,0.334699725
Croatia,2018,4.475474885
Cuba,2018,2.523974056
Curacao,2018,33.63272146
Cyprus,2018,6.299933429
Czech Republic,2018,9.932975213
Democratic Republic of Congo,2018,0.024229435
Denmark,2018,6.051757903
Djibouti,2018,0.67173949
Dominica,2018,2.533437356
Dominican Republic,2018,2.339069834
EU-27,2018,6.896694284
EU-28,2018,6.732493768
Ecuador,2018,2.45348711
Egypt,2018,2.426397177
El Salvador,2018,1.11044667
Equatorial Guinea,2018,4.344841481
Eritrea,2018,0.214338619
Estonia,2018,14.78386987
Ethiopia,2018,0.136741916
Europe,2018,7.530424281
Europe (excl. EU-27),2018,8.431121555
Europe (excl. EU-28),2018,9.218675435
Faeroe Islands,2018,13.18300402
Fiji,2018,2.406654408
Finland,2018,8.507890447
France,2018,5.199387784
French Polynesia,2018,2.919863342
Gabon,2018,2.52868748
Gambia,2018,0.267820947
Georgia,2018,2.637980079
Germany,2018,9.130960322
Ghana,2018,0.614721856
Greece,2018,7.022126794
Greenland,2018,8.971542517
Grenada,2018,2.437749645
Guatemala,2018,1.064763665
Guinea,2018,0.256109793
Guinea-Bissau,2018,0.181207642
Guyana,2018,3.120506648
Haiti,2018,0.269639932
Honduras,2018,1.034155433
Hong Kong,2018,5.852471831
Hungary,2018,5.13564536
Iceland,2018,10.77332488
India,2018,1.962160681
Indonesia,2018,2.297284312
Iran,2018,8.807022574
Iraq,2018,5.312351621
Ireland,2018,8.07867117
Israel,2018,7.666879556
Italy,2018,5.575514858
Jamaica,2018,2.790709849
Japan,2018,9.134928103
Jordan,2018,2.417100846
Kazakhstan,2018,17.56478182
Kenya,2018,0.35970344
Kiribati,2018,0.599794588
Kuwait,2018,23.70361784
Kyrgyzstan,2018,1.599175912
Laos,2018,2.736131733
Latvia,2018,3.729587005
Lebanon,2018,3.532168427
Lesotho,2018,1.261539906
Liberia,2018,0.323401398
Libya,2018,8.087389401
Liechtenstein,2018,4.018628577
Lithuania,2018,4.839151254
Luxembourg,2018,15.86371991
Macao,2018,3.311964069
Macedonia,2018,3.48940419
Madagascar,2018,0.163021909
Malawi,2018,0.076114028
Malaysia,2018,8.073031541
Maldives,2018,2.951443998
Mali,2018,0.18661284
Malta,2018,3.606867458
Marshall Islands,2018,2.599109881
Mauritania,2018,0.604470296
Mauritius,2018,3.831852687
Mexico,2018,3.782537731
Moldova,2018,1.265343078
Mongolia,2018,8.868372741
Montenegro,2018,3.198067266
Montserrat,2018,5.956162927
Morocco,2018,1.840455376
Mozambique,2018,0.280920899
Myanmar,2018,0.490329921
Namibia,2018,1.745275577
Nauru,2018,4.568132519
Nepal,2018,0.336269468
Netherlands,2018,9.473854654
New Caledonia,2018,20.55908006
New Zealand,2018,7.329914479
Nicaragua,2018,0.86164504
Niger,2018,0.103333298
Nigeria,2018,0.649874602
Niue,2018,3.8653429
North America,2018,11.47863634
North America (excl. USA),2018,4.879712359
North Korea,2018,1.182722452
Norway,2018,8.303918337
Oceania,2018,11.48552138
Oman,2018,13.93478566
Pakistan,2018,1.053303047
Palau,2018,13.09921761
Palestine,2018,0.659986973
Panama,2018,2.618674207
Papua New Guinea,2018,0.910746181
Paraguay,2018,1.068316021
Peru,2018,1.735953776
Philippines,2018,1.26645842
Poland,2018,9.059067735
Portugal,2018,4.965424331
Qatar,2018,37.96653291
Romania,2018,3.796817167
Russia,2018,11.73842916
Rwanda,2018,0.091237934
Saint Helena,2018,1.861300915
Saint Kitts and Nevis,2018,4.653252287
Saint Lucia,2018,2.311285751
Saint Pierre and Miquelon,2018,13.0291064
Saint Vincent and the Grenadines,2018,2.030510089
Samoa,2018,1.321316196
Sao Tome and Principe,2018,0.586386932
Saudi Arabia,2018,18.43462225
Senegal,2018,0.738671847
Serbia,2018,5.162338626
Seychelles,2018,6.755094422
Sierra Leone,2018,0.140938093
Singapore,2018,7.096495091
Sint Maarten (Dutch part),2018,18.43574239
Slovakia,2018,6.607058717
Slovenia,2018,6.945032745
Solomon Islands,2018,0.272290618
Somalia,2018,0.046570303
South Africa,2018,8.090290043
South America,2018,2.629228588
South Korea,2018,12.8739886
South Sudan,2018,0.170410371
Spain,2018,5.744625773
Sri Lanka,2018,1.100780204
Sudan,2018,0.503471713
Suriname,2018,3.10212281
Swaziland,2018,1.055210987
Sweden,2018,4.114204897
Switzerland,2018,4.324823108
Syria,2018,1.668739612
Taiwan,2018,11.57561289
Tajikistan,2018,0.602636465
Tanzania,2018,0.221954382
Thailand,2018,4.151482978
Timor,2018,0.411530987
Togo,2018,0.433257069
Tonga,2018,1.313466034
Trinidad and Tobago,2018,31.27851856
Tunisia,2018,2.730356064
Turkey,2018,5.200140711
Turkmenistan,2018,13.65470216
Turks and Caicos Islands,2018,5.779829156
Tuvalu,2018,0.966335725
Uganda,2018,0.135059484
Ukraine,2018,5.08561622
United Arab Emirates,2018,21.34797284
United Kingdom,2018,5.645347054
United States,2018,16.55867966
Uruguay,2018,2.013296657
Uzbekistan,2018,2.810235485
Vanuatu,2018,0.527691864
Venezuela,2018,4.803704172
Vietnam,2018,2.162946589
World,2018,4.792598235
Yemen,2018,0.355824562
Zambia,2018,0.301292952
Zimbabwe,2018,0.849276115
Afghanistan,2017,0.247164193
Africa,2017,1.102694029
Albania,2017,1.612812198
Algeria,2017,3.557053728
Andorra,2017,6.263003482
Angola,2017,1.144044856
Anguilla,2017,10.3488499
Antigua and Barbuda,2017,5.913628517
Argentina,2017,4.54177586
Armenia,2017,1.699698642
Aruba,2017,8.483240908
Asia,2017,4.310191674
Asia (excl. China & India),2017,4.08218261
Australia,2017,16.96324092
Austria,2017,7.934109627
Azerbaijan,2017,3.722912411
Bahamas,2017,4.711053307
Bahrain,2017,21.2985399
Bangladesh,2017,0.494000082
Barbados,2017,4.438899927
Belarus,2017,6.634836263
Belgium,2017,8.54321957
Belize,2017,1.506435618
Benin,2017,0.617690593
Bermuda,2017,9.797380578
Bhutan,2017,1.578588666
Bolivia,2017,1.939781246
Bonaire Sint Eustatius and Saba,2017,13.30566416
Bosnia and Herzegovina,2017,6.497922597
Botswana,2017,3.13474175
Brazil,2017,2.231779303
British Virgin Islands,2017,7.145634458
Brunei,2017,17.91278117
Bulgaria,2017,6.674406311
Burkina Faso,2017,0.19575463
Burundi,2017,0.046946691
Cambodia,2017,0.625786701
Cameroon,2017,0.325826286
Canada,2017,15.54880969
Cape Verde,2017,1.126024224
Central African Republic,2017,0.064456616
Chad,2017,0.066008775
Chile,2017,4.517690766
China,2017,6.923717128
Colombia,2017,1.904445212
Comoros,2017,0.260782632
Congo,2017,0.622366474
Cook Islands,2017,3.552604164
Costa Rica,2017,1.578802158
Cote d'Ivoire,2017,0.326875293
Croatia,2017,4.474485028
Cuba,2017,2.478469966
Curacao,2017,33.36521149
Cyprus,2017,6.379823899
Czech Republic,2017,9.924562374
Democratic Republic of Congo,2017,0.024433873
Denmark,2017,6.070245799
Djibouti,2017,0.665272324
Dominica,2017,2.550772864
Dominican Republic,2017,2.321292863
EU-27,2017,7.051758715
EU-28,2017,6.888926373
Ecuador,2017,2.356780449
Egypt,2017,2.457594515
El Salvador,2017,1.101245948
Equatorial Guinea,2017,4.536654726
Eritrea,2017,0.2113903
Estonia,2017,14.14288754
Ethiopia,2017,0.137418837
Europe,2017,7.548526599
Europe (excl. EU-27),2017,8.248817335
Europe (excl. EU-28),2017,8.935254253
Faeroe Islands,2017,13.50052378
Fiji,2017,2.360649367
Finland,2017,8.111938946
France,2017,5.344192818
French Polynesia,2017,2.862072408
Gabon,2017,2.573094348
Gambia,2017,0.265430375
Georgia,2017,2.658235721
Germany,2017,9.653831452
Ghana,2017,0.605799898
Greece,2017,7.08154458
Greenland,2017,9.351691723
Grenada,2017,2.403251015
Guatemala,2017,0.958492966
Guinea,2017,0.253575225
Guinea-Bissau,2017,0.178802711
Guyana,2017,3.028782867
Haiti,2017,0.27120165
Honduras,2017,1.016427558
Hong Kong,2017,5.910584833
Hungary,2017,5.102362225
Iceland,2017,10.82184518
India,2017,1.83536021
Indonesia,2017,2.206964797
Iran,2017,8.502673283
Iraq,2017,4.990392807
Ireland,2017,8.148030312
Israel,2017,7.846784901
Italy,2017,5.751909526
Jamaica,2017,2.79820498
Japan,2017,9.318388379
Jordan,2017,2.470413586
Kazakhstan,2017,15.66875286
Kenya,2017,0.359543996
Kiribati,2017,0.593933823
Kuwait,2017,24.06673452
Kyrgyzstan,2017,1.52793406
Laos,2017,2.621426851
Latvia,2017,3.708476279
Lebanon,2017,3.528782944
Lesotho,2017,1.331346786
Liberia,2017,0.319771501
Libya,2017,7.951791446
Liechtenstein,2017,4.082602782
