Year,Country,hf_score,hf_quartile,pf_rol,pf_ss,pf_movement,pf_religion,pf_expression,pf_identity,pf_score,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,ef_score
2017,Albania,7.84,1,5.3,9.3,10,9.2,8.6,5.8,8.01,7.5,5.1,9.6,8.3,7.8,7.67
2017,Algeria,4.99,4,3.8,7.8,5.8,4.9,7.3,0,5.2,3.6,4.7,7.3,2.8,5.4,4.77
2017,Angola,5.4,4,3.4,8.1,6.7,8.8,6.5,5,5.98,6.8,3,5.6,3.2,5.7,4.83
2017,Argentina,6.86,2,5.7,8.8,10,7.8,8.7,10,8.04,5.7,4,6.5,6.5,5.6,5.67
2017,Armenia,7.42,2,4.9,9.1,8.3,6.2,7.2,8.2,7.15,7.4,5.9,9.5,8.2,7.5,7.7
2017,Australia,8.62,1,7.8,9.9,10,9.1,9.4,9,9.16,7,7.9,9.5,7.6,8.5,8.07
2017,Austria,8.48,1,8.2,9.9,10,7.9,9.3,10,9.25,5.7,7.9,9.4,8.1,7.5,7.71
2017,Azerbaijan,6.22,3,4.3,9.5,8.3,5.5,4,5.8,6.1,4.8,5.5,6.8,7.3,7.2,6.34
2017,Bahamas,7.56,2,6.4,6.7,10,7.9,8.9,10,7.87,8.1,6.5,6.9,6.5,8.2,7.25
2017,Bahrain,6.63,3,5.9,7.4,4.2,7.5,4.1,5,5.91,7,5.2,9.4,7.4,7.8,7.35
2017,Bangladesh,5.77,4,3.1,7,6.7,5.9,7,1.7,5.37,8.2,3.1,7,6,6.7,6.18
2017,Barbados,7.02,2,6.7,8.6,7.5,8.5,9.1,5,7.59,6.3,5.9,6.2,7,7,6.45
2017,Belarus,6.65,3,5.1,9.2,8.3,5.2,5.8,9,6.66,6.1,5.3,7.4,6.8,7.5,6.64
2017,Belgium,8.29,1,7.8,9.8,10,8.1,9.8,9,9.07,4.9,7.1,9.5,8.2,8,7.51
2017,Belize,6.95,2,4.3,6.7,7.5,9.1,8.5,10,7.12,6.9,5.2,7.2,6.5,8.1,6.78
2017,Benin,6.77,3,4.2,8.7,5.8,9.4,9,8.8,7.47,7.1,4.2,6.7,6.1,6.4,6.08
2017,Bhutan,6.53,3,6.2,9.6,3.3,7.3,7.3,0.8,6.29,6.9,6.4,6.8,6.3,7.5,6.77
2017,Bolivia,6.61,3,3.1,8.6,8.3,8.4,8.4,10,7.07,5.9,3.5,9.3,7,4.9,6.14
2017,Bosnia and Herzegovina,7.37,2,5.5,9.1,8.3,8.5,8.7,9,8.04,5.6,4.2,8.3,7.8,7.5,6.69
2017,Botswana,7.17,2,5.6,7.6,7.5,9,7.8,5,6.97,6.4,5.9,9.3,7.4,7.9,7.37
2017,Brazil,6.48,3,4.7,6.7,10,7.4,8.5,6.7,6.74,5.7,4.5,9.4,7.1,4.4,6.23
2017,Brunei Darussalam,5.69,4,6.2,8.3,4.2,0,4.6,1.7,4.76,3.3,5.3,8.8,7.2,8.5,6.62
2017,Bulgaria,7.79,1,4.9,9.8,10,7.1,8.8,8.2,8.04,7.1,5.3,9.4,8.1,7.7,7.54
2017,Burkina Faso,6.73,3,4.9,7.9,10,8,7.7,8.8,7.39,5.7,4.3,7,6.5,6.9,6.07
2017,Burundi,5.56,4,2.9,7.8,6.7,7.5,3.2,3.8,4.95,6.9,3.5,8.2,5.9,6.3,6.17
2017,C?te d'Ivoire,6.59,3,4,7.1,6.7,9.4,8.7,10,7.2,5.9,4.2,7.1,5.9,6.7,5.97
2017,Cambodia,7.13,2,2.6,8.8,7.5,8.3,7.7,8.8,6.82,9.1,4.4,9.3,7.3,7,7.44
2017,Cameroon,5.64,4,3,8.1,2.5,7.9,6.8,3.8,5.43,6.9,3.2,7.3,5.2,6.6,5.84
2017,Canada,8.65,1,7.7,9.7,10,9,9.5,10,9.22,6.5,7.8,9.6,7.9,8.6,8.08
2017,Cape Verde,7.45,2,5.8,8.5,10,8.1,8.9,6.3,7.74,7.2,6,8.3,7.2,7.1,7.16
2017,Central Afr. Rep.,5.41,4,2.4,4.5,5,8.3,8,8.8,5.59,6.5,2.7,6.7,4.7,5.5,5.23
2017,Chad,5.46,4,3.1,6.3,6.7,8.2,7.5,2.5,5.49,7.4,2.7,6.8,5.2,5,5.42
2017,Chile,8.15,1,6.5,9.4,10,9.3,9.2,5.8,8.41,8.2,6.4,9.5,8.3,7,7.89
2017,China,6.17,4,4.7,9.3,5,3.7,5.2,9,5.92,4.7,5.6,8.5,6.8,6.5,6.42
2017,Colombia,6.93,2,4.4,5.4,10,8.7,8.4,10,7.18,7.2,3.9,8.2,6.7,7.3,6.68
2017,"Congo, Dem. R.",5.36,4,2.5,6.3,6.7,8.5,6.9,6.3,5.73,6.9,3.1,4.4,5.6,5,5
2017,"Congo, Rep. Of",5.8,4,3.4,7.7,4.2,9.4,6.7,8.8,6.52,5.6,3.1,5.7,5.4,5.6,5.08
2017,Costa Rica,7.7,2,6.6,7.5,10,8.1,9.6,7.3,7.99,7,5.8,9.8,8,6.5,7.41
2017,Croatia,7.86,1,5.7,9.9,10,8.1,8.6,10,8.45,5.7,5.6,9.6,8.2,7.3,7.26
2017,Cyprus,7.93,1,6.6,9.8,7.5,7.2,9.5,8.3,8.18,6.9,6.1,9.4,8.3,7.7,7.68
2017,Czech Rep.,8.34,1,7.8,9.9,10,7.8,9.5,8.2,8.92,6.7,6.4,9.3,8.2,8.2,7.75
2017,Denmark,8.56,1,8.7,9.8,10,7.7,8.9,10,9.24,4.7,8.1,9.8,8.5,8.4,7.89
